package_id,package_type,shift,carrier,route_distance_km,packages_in_route,weather_risk,days_in_fc,double_scan,locker_issue,damaged_on_arrival,cr_number_missing
PackageID_76d208eb-77ab-4e5c-bf59-5533ea28d450,standard,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_c8a59c0b-7ee9-4e06-81fa-10592eb28e1c,standard,afternoon,carrier_A,45.69,241,low,0,0,0,0,1
PackageID_a50030c1-9ad2-4fb4-ae4c-aff2e7be0aa7,standard,afternoon,carrier_C,40.37,268,low,0,0,0,0,1
PackageID_eb5027eb-c56e-4bbc-9399-dee87964b21b,high_value,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_a03cf058-1f39-4d9b-ba22-25ebf3df0f09,high_value,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_036e27a9-3b93-4c4b-948b-a712344b445d,standard,morning,carrier_D,30.45,245,low,0,0,0,0,1
PackageID_42e0e390-3908-4584-b450-a9be0b4596db,high_value,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_e85a68b8-58f1-4a55-834d-61a371434acb,standard,morning,carrier_D,30.45,245,low,0,0,0,0,1
PackageID_cbdaa2e6-3376-45a9-bb86-72eec45e6f0e,standard,morning,carrier_B,70.17,216,low,0,0,0,0,1
PackageID_4f6e31af-7458-4e0f-8afe-0a838b89e703,high_value,afternoon,carrier_A,33.57,276,low,0,0,0,0,1
PackageID_5e6bd154-6b55-48af-82d2-9f4d531cfe3a,high_value,afternoon,carrier_A,33.57,276,low,0,0,0,0,1
PackageID_94af2e5b-cccf-49d7-bdfb-449c7ff3fe5e,high_value,afternoon,carrier_C,51.75,212,low,0,0,0,0,1
PackageID_0a04d80d-52b0-4a1e-84a2-0132778b03b1,high_value,afternoon,carrier_C,40.18,199,low,0,0,0,0,1
PackageID_6e069175-d21e-4fe1-8a12-e5fe03a8ae77,high_value,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_a5983988-f31a-4733-9101-8eaf864cd631,standard,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_61aa7679-b5ee-4785-9843-fa2f9db0ab73,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_3a9cb587-5e7e-4aec-be78-8a5519ef014c,standard,afternoon,carrier_A,45.69,241,low,0,0,0,0,1
PackageID_6524034e-32f4-472d-b837-819b2e9bef95,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_b7218baf-8ea7-464e-8de6-7ab22a692780,high_value,afternoon,carrier_C,40.37,268,low,0,0,0,0,1
PackageID_44490fc3-9a07-46ac-943f-f0afba2dde8a,standard,afternoon,carrier_C,43.63,202,low,0,0,0,0,1
